ue_id,sched_frame,sched_slot,tx_frame,tx_slot,tda,rb_start,rb_count,rb_end
e78f,835,7,834,17,3,8,8,15
a73b,836,19,836,10,0,0,8,7
ca1c,836,19,836,10,0,8,8,15
74c9,837,7,836,17,3,0,8,7
e350,837,7,836,17,3,8,8,15
94e0,838,19,838,10,0,0,8,7
33d7,838,19,838,10,0,8,8,15
cc91,839,7,838,17,3,0,8,7
af14,839,7,838,17,3,8,8,15
8e66,840,19,840,10,0,0,8,7
3799,840,19,840,10,0,8,8,15
c2c4,841,7,840,17,3,0,8,7
a2e5,841,7,840,17,3,8,8,15
5193,842,19,842,10,0,0,8,7
161d,842,19,842,10,0,8,8,15
4a5e,843,7,842,17,3,0,8,7
f52f,843,7,842,17,3,8,8,15
2282,844,19,844,10,0,0,8,7
5d26,844,19,844,10,0,8,8,15
60f7,845,7,844,17,3,0,8,7
fe8f,845,7,844,17,3,8,8,15
99b9,846,19,846,10,0,0,8,7
3fd2,846,19,846,10,0,8,8,15
4dac,847,7,846,17,3,0,8,7
f358,847,7,846,17,3,8,8,15
6a69,848,19,848,10,0,0,8,7
b7e0,848,19,848,10,0,8,8,15
e275,849,7,848,17,3,0,8,7
112e,849,7,848,17,3,8,8,15
d6c4,850,19,850,10,0,0,8,7
d948,850,19,850,10,0,8,8,15
9bb9,851,7,850,17,3,0,8,7
e080,851,7,850,17,3,8,8,15
30d6,852,19,852,10,0,0,8,7
dd02,852,19,852,10,0,8,8,15
610d,853,7,852,17,3,0,8,7
825d,853,7,852,17,3,8,8,15
f566,854,19,854,10,0,0,8,7
ef5d,854,19,854,10,0,8,8,15
0554,855,7,854,17,3,0,8,7
e152,855,7,854,17,3,8,8,15
2df8,856,19,856,10,0,0,8,7
db51,856,19,856,10,0,8,8,15
e400,857,7,856,17,3,0,8,7
1329,857,7,856,17,3,8,8,15
8dda,858,19,858,10,0,0,8,7
f8bb,858,19,858,10,0,8,8,15
ba4e,859,7,858,17,3,0,8,7
ffb4,859,7,858,17,3,8,8,15
0845,860,19,860,10,0,0,8,7
7739,860,19,860,10,0,8,8,15
0e6e,861,7,860,17,3,0,8,7
9c7c,861,7,860,17,3,8,8,15
13ee,864,19,864,10,0,0,8,7
67d4,864,19,864,10,0,8,8,15
e479,865,7,864,17,3,0,8,7
3ca3,865,7,864,17,3,8,8,15
2bb7,866,19,866,10,0,0,8,7
d8d8,866,19,866,10,0,8,8,15
393f,867,7,866,17,3,0,8,7
7297,867,7,866,17,3,8,8,15
2d5a,868,19,868,10,0,0,8,7
dd5d,868,19,868,10,0,8,8,15
dbac,869,7,868,17,3,0,8,7
70cd,869,7,868,17,3,8,8,15
1dca,870,19,870,10,0,0,8,7
6758,870,19,870,10,0,8,8,15
e792,871,7,870,17,3,0,8,7
a9d0,871,7,870,17,3,8,8,15
e2e6,872,19,872,10,0,0,8,7
38f3,872,19,872,10,0,8,8,15
0422,873,7,872,17,3,0,8,7
6276,873,7,872,17,3,8,8,15
82a0,874,19,874,10,0,0,8,7
73da,874,19,874,10,0,8,8,15
b8ee,875,7,874,17,3,0,8,7
263c,875,7,874,17,3,8,8,15
765c,876,19,876,10,0,0,8,7
7b3c,876,19,876,10,0,8,8,15
da86,877,7,876,17,3,0,8,7
cb5e,877,7,876,17,3,8,8,15
ef46,878,19,878,10,0,0,8,7
90f2,878,19,878,10,0,8,8,15
1faa,879,7,878,17,3,0,8,7
3b65,879,7,878,17,3,8,8,15
7486,880,19,880,10,0,0,8,7
c0f1,880,19,880,10,0,8,8,15
09e4,881,7,880,17,3,0,8,7
fe20,881,7,880,17,3,8,8,15
f1af,882,19,882,10,0,0,8,7
89eb,882,19,882,10,0,8,8,15
2374,883,7,882,17,3,0,8,7
503b,883,7,882,17,3,8,8,15
0a0c,884,19,884,10,0,0,8,7
817b,884,19,884,10,0,8,8,15
49b0,885,7,884,17,3,0,8,7
2c3b,885,7,884,17,3,8,8,15
d731,886,19,886,10,0,0,8,7
43b1,886,19,886,10,0,8,8,15
1975,887,7,886,17,3,0,8,7
ad1b,887,7,886,17,3,8,8,15
6446,888,19,888,10,0,0,8,7
40e2,888,19,888,10,0,8,8,15
4ce8,889,7,888,17,3,0,8,7
c671,889,7,888,17,3,8,8,15
e379,890,19,890,10,0,0,8,7
8816,890,19,890,10,0,8,8,15
63c7,891,7,890,17,3,0,8,7
4713,891,7,890,17,3,8,8,15
59cb,892,19,892,10,0,0,8,7
b63f,892,19,892,10,0,8,8,15
80a2,893,7,892,17,3,0,8,7
3303,893,7,892,17,3,8,8,15
436e,894,19,894,10,0,0,8,7
dad4,894,19,894,10,0,8,8,15
46b6,895,7,894,17,3,0,8,7
2141,895,7,894,17,3,8,8,15
d17b,896,19,896,10,0,0,8,7
8479,896,19,896,10,0,8,8,15
fdcb,897,7,896,17,3,0,8,7
b424,897,7,896,17,3,8,8,15
48be,898,19,898,10,0,0,8,7
7749,898,19,898,10,0,8,8,15
02c1,899,7,898,17,3,0,8,7
b069,899,7,898,17,3,8,8,15
5bf0,900,19,900,10,0,0,8,7
a381,900,19,900,10,0,8,8,15
0ce4,901,7,900,17,3,0,8,7
9894,901,7,900,17,3,8,8,15
3a5b,902,19,902,10,0,0,8,7
9348,902,19,902,10,0,8,8,15
5e84,903,7,902,17,3,0,8,7
c6cd,903,7,902,17,3,8,8,15
bf0a,904,19,904,10,0,0,8,7
4765,904,19,904,10,0,8,8,15
0639,905,7,904,17,3,0,8,7
e28e,905,7,904,17,3,8,8,15
987b,906,19,906,10,0,0,8,7
3d37,906,19,906,10,0,8,8,15
76d3,907,7,906,17,3,0,8,7
5d5b,907,7,906,17,3,8,8,15
