ue_id,sched_frame,sched_slot,tx_frame,tx_slot,tda,rb_start,rb_count,rb_end
88cb,725,17,725,7,3,0,8,7
5ead,725,17,725,7,3,8,8,15
39bb,726,17,726,7,3,0,8,7
1235,726,17,726,7,3,8,8,15
8f11,727,17,727,7,3,0,8,7
9183,727,17,727,7,3,8,8,15
915e,728,17,728,7,3,0,8,7
ada2,728,17,728,7,3,8,8,15
1fff,729,17,729,7,3,0,8,7
b227,729,17,729,7,3,8,8,15
3c47,730,7,729,17,3,0,8,7
65f8,730,7,729,17,3,8,8,15
892d,730,17,730,7,3,0,8,7
62a6,730,17,730,7,3,8,8,15
6bc5,731,17,731,7,3,0,8,7
57cc,731,17,731,7,3,8,8,15
67ef,732,17,732,7,3,0,8,7
76c7,732,17,732,7,3,8,8,15
09fb,733,17,733,7,3,0,8,7
ad07,733,17,733,7,3,8,8,15
0ccf,734,17,734,7,3,0,8,7
5e11,734,17,734,7,3,8,8,15
46d8,735,7,734,17,3,0,8,7
2d0c,735,7,734,17,3,8,8,15
bdf4,735,17,735,7,3,0,8,7
627f,735,17,735,7,3,8,8,15
b690,736,17,736,7,3,0,8,7
f02d,736,17,736,7,3,8,8,15
9627,737,17,737,7,3,0,8,7
15a5,737,17,737,7,3,8,8,15
11d2,738,17,738,7,3,0,8,7
43e4,738,17,738,7,3,8,8,15
1200,739,17,739,7,3,0,8,7
2b4b,739,17,739,7,3,8,8,15
0902,740,7,739,17,3,0,8,7
ed04,740,7,739,17,3,8,8,15
50ad,740,17,740,7,3,0,8,7
0339,740,17,740,7,3,8,8,15
4bfa,741,17,741,7,3,0,8,7
15b5,741,17,741,7,3,8,8,15
a900,742,17,742,7,3,0,8,7
6d63,742,17,742,7,3,8,8,15
c1d5,743,17,743,7,3,0,8,7
7238,743,17,743,7,3,8,8,15
e3fc,744,17,744,7,3,0,8,7
164b,744,17,744,7,3,8,8,15
0425,745,7,744,17,3,0,8,7
4094,745,7,744,17,3,8,8,15
23ed,745,17,745,7,3,0,8,7
fd01,745,17,745,7,3,8,8,15
f4a0,746,17,746,7,3,0,8,7
a600,746,17,746,7,3,8,8,15
cbae,747,17,747,7,3,0,8,7
41d0,747,17,747,7,3,8,8,15
5792,748,17,748,7,3,0,8,7
1f07,748,17,748,7,3,8,8,15
4508,749,17,749,7,3,0,8,7
a580,749,17,749,7,3,8,8,15
391b,750,7,749,17,3,0,8,7
2148,750,7,749,17,3,8,8,15
0cf8,750,17,750,7,3,0,8,7
72e5,750,17,750,7,3,8,8,15
e2d9,751,17,751,7,3,0,8,7
e59e,751,17,751,7,3,8,8,15
1a74,752,17,752,7,3,0,8,7
3d03,752,17,752,7,3,8,8,15
0def,753,17,753,7,3,0,8,7
c8c8,753,17,753,7,3,8,8,15
8467,754,17,754,7,3,0,8,7
6def,754,17,754,7,3,8,8,15
1a33,755,7,754,17,3,0,8,7
914b,755,7,754,17,3,8,8,15
dc75,755,17,755,7,3,0,8,7
5f34,755,17,755,7,3,8,8,15
14d8,756,17,756,7,3,0,8,7
866a,756,17,756,7,3,8,8,15
0f41,757,17,757,7,3,0,8,7
6445,757,17,757,7,3,8,8,15
e20d,758,17,758,7,3,0,8,7
00e4,758,17,758,7,3,8,8,15
2449,759,17,759,7,3,0,8,7
6f8a,759,17,759,7,3,8,8,15
8378,760,7,759,17,3,0,8,7
5f4c,760,7,759,17,3,8,8,15
7540,760,17,760,7,3,0,8,7
1d42,760,17,760,7,3,8,8,15
69fb,761,17,761,7,3,0,8,7
981b,761,17,761,7,3,8,8,15
2bc0,762,17,762,7,3,0,8,7
33de,762,17,762,7,3,8,8,15
1e4d,763,17,763,7,3,0,8,7
2088,763,17,763,7,3,8,8,15
f6e6,764,17,764,7,3,0,8,7
e7c2,764,17,764,7,3,8,8,15
17f0,765,7,764,17,3,0,8,7
8e70,765,7,764,17,3,8,8,15
223e,765,17,765,7,3,0,8,7
78d9,765,17,765,7,3,8,8,15
06fb,766,17,766,7,3,0,8,7
4f8f,766,17,766,7,3,8,8,15
845f,767,17,767,7,3,0,8,7
d84f,767,17,767,7,3,8,8,15
3c63,768,17,768,7,3,0,8,7
a177,768,17,768,7,3,8,8,15
ebfe,770,7,769,17,3,0,8,7
d293,770,7,769,17,3,8,8,15
7391,770,17,770,7,3,0,8,7
c522,770,17,770,7,3,8,8,15
cbc4,771,7,770,17,3,0,8,7
2f3b,771,7,770,17,3,8,8,15
69b0,771,17,771,7,3,0,8,7
ff84,771,17,771,7,3,8,8,15
35a6,772,17,772,7,3,0,8,7
c0e3,772,17,772,7,3,8,8,15
eab9,774,17,774,7,3,0,8,7
2e77,774,17,774,7,3,8,8,15
ac28,775,7,774,17,3,0,8,7
5892,775,7,774,17,3,8,8,15
393a,775,17,775,7,3,0,8,7
7a8a,775,17,775,7,3,8,8,15
de55,776,7,775,17,3,0,8,7
8c01,776,7,775,17,3,8,8,15
6032,776,17,776,7,3,0,8,7
8097,776,17,776,7,3,8,8,15
1eb5,778,17,778,7,3,0,8,7
19fa,778,17,778,7,3,8,8,15
6f16,779,17,779,7,3,0,8,7
c0c8,779,17,779,7,3,8,8,15
a454,780,7,779,17,3,0,8,7
d86b,780,7,779,17,3,8,8,15
bb15,780,17,780,7,3,0,8,7
d480,780,17,780,7,3,8,8,15
4a7f,781,7,780,17,3,0,8,7
2f1a,781,7,780,17,3,8,8,15
87a4,782,17,782,7,3,0,8,7
d2c3,782,17,782,7,3,8,8,15
575b,783,17,783,7,3,0,8,7
42ce,783,17,783,7,3,8,8,15
dd2f,784,17,784,7,3,0,8,7
70de,784,17,784,7,3,8,8,15
e01a,785,7,784,17,3,0,8,7
642c,785,7,784,17,3,8,8,15
4597,785,17,785,7,3,0,8,7
0739,785,17,785,7,3,8,8,15
bbf7,786,17,786,7,3,0,8,7
9232,786,17,786,7,3,8,8,15
f4cb,787,17,787,7,3,0,8,7
d027,787,17,787,7,3,8,8,15
076a,788,17,788,7,3,0,8,7
f97d,788,17,788,7,3,8,8,15
203a,789,17,789,7,3,0,8,7
f3d6,789,17,789,7,3,8,8,15
eb9d,790,7,789,17,3,0,8,7
5da4,790,7,789,17,3,8,8,15
0464,790,17,790,7,3,0,8,7
d148,790,17,790,7,3,8,8,15
a7bb,791,17,791,7,3,0,8,7
23e6,791,17,791,7,3,8,8,15
0b3d,792,17,792,7,3,0,8,7
adcb,792,17,792,7,3,8,8,15
0fb2,793,17,793,7,3,0,8,7
3f6f,793,17,793,7,3,8,8,15
82b7,794,17,794,7,3,0,8,7
8fc2,794,17,794,7,3,8,8,15
979a,795,7,794,17,3,0,8,7
d281,795,7,794,17,3,8,8,15
f04f,795,17,795,7,3,0,8,7
ddf9,795,17,795,7,3,8,8,15
6e41,796,17,796,7,3,0,8,7
01af,796,17,796,7,3,8,8,15
5aef,798,7,797,17,3,0,8,7
c29c,798,7,797,17,3,8,8,15
2803,798,17,798,7,3,0,8,7
e379,798,17,798,7,3,8,8,15
2520,799,17,799,7,3,0,8,7
517c,799,17,799,7,3,8,8,15
c815,800,7,799,17,3,0,8,7
69ba,800,7,799,17,3,8,8,15
3cdd,800,17,800,7,3,0,8,7
3793,800,17,800,7,3,8,8,15
